eval_id,claim,true_label,source_type
223,Green tea might support metabolism,uncertain,youtube
224,Green tea might support metabolism,uncertain,medical_source
225,Vaccination reduces risk of infectious diseases,reliable,tiktok
226,Doctors hide natural cures from patients,myth,forum
227,Drinking only juice detoxes the body completely,myth,forum
228,ginger tea instantly lowers blood sugar,myth,social_media
229,turmeric cures all diseases,myth,health_journal
230,honey cures all diseases,myth,forum
231,Intermittent fasting may improve some health markers,uncertain,tiktok
232,Certain herbal remedies may reduce stress,uncertain,health_journal
233,Certain herbal remedies may reduce stress,uncertain,social_media
234,Intermittent fasting may improve some health markers,uncertain,social_media
235,green tea instantly lowers blood sugar,myth,health_journal
236,Drinking only juice detoxes the body completely,myth,tiktok
237,Vaccines permanently weaken the immune system,myth,forum
238,Vaccination reduces risk of infectious diseases,reliable,forum
239,Doctors hide natural cures from patients,myth,forum
240,green tea may help improve concentration,uncertain,forum
241,ginger tea instantly lowers blood sugar,myth,blog
242,honey could help with digestion,uncertain,blog
243,Certain herbal remedies may reduce stress,uncertain,youtube
244,garlic may help improve concentration,uncertain,forum
245,green tea could help with digestion,uncertain,health_journal
246,Certain herbal remedies may reduce stress,uncertain,blog
247,Vaccination reduces risk of infectious diseases,reliable,medical_source
248,Vaccines permanently weaken the immune system,myth,tiktok
249,Certain herbal remedies may reduce stress,uncertain,blog
250,Exercise helps maintain cardiovascular health,reliable,health_journal
251,turmeric could help with digestion,uncertain,tiktok
252,Vaccination reduces risk of infectious diseases,reliable,tiktok
253,Regular sleep supports brain function,reliable,social_media
254,Eating fruits and vegetables supports immunity,reliable,forum
255,honey instantly lowers blood sugar,myth,forum
256,Washing hands reduces spread of bacteria and viruses,reliable,tiktok
257,apple cider vinegar cures all diseases,myth,blog
258,Vaccination reduces risk of infectious diseases,reliable,tiktok
259,Vaccines permanently weaken the immune system,myth,health_journal
260,apple cider vinegar instantly lowers blood sugar,myth,blog
261,Doctors hide natural cures from patients,myth,blog
262,turmeric could help with digestion,uncertain,forum
263,Washing hands reduces spread of bacteria and viruses,reliable,youtube
264,Exercise helps maintain cardiovascular health,reliable,forum
265,Exercise helps maintain cardiovascular health,reliable,social_media
266,Exercise helps maintain cardiovascular health,reliable,blog
267,Doctors hide natural cures from patients,myth,health_journal
268,Vaccination reduces risk of infectious diseases,reliable,forum
269,Intermittent fasting may improve some health markers,uncertain,medical_source
270,Green tea might support metabolism,uncertain,tiktok
271,Washing hands reduces spread of bacteria and viruses,reliable,medical_source
272,Washing hands reduces spread of bacteria and viruses,reliable,forum
273,Green tea might support metabolism,uncertain,tiktok
274,Eating fruits and vegetables supports immunity,reliable,forum
275,Green tea might support metabolism,uncertain,health_journal
276,Washing hands reduces spread of bacteria and viruses,reliable,medical_source
277,green tea instantly lowers blood sugar,myth,tiktok
278,ginger tea may help improve concentration,uncertain,tiktok
279,Washing hands reduces spread of bacteria and viruses,reliable,forum
280,lemon water instantly lowers blood sugar,myth,social_media
281,Certain herbal remedies may reduce stress,uncertain,youtube
282,Exercise helps maintain cardiovascular health,reliable,tiktok
283,Green tea might support metabolism,uncertain,youtube
284,Washing hands reduces spread of bacteria and viruses,reliable,tiktok
285,green tea instantly lowers blood sugar,myth,medical_source
286,Vaccines permanently weaken the immune system,myth,youtube
287,Vaccination reduces risk of infectious diseases,reliable,medical_source
288,ginger tea instantly lowers blood sugar,myth,youtube
289,Regular sleep supports brain function,reliable,social_media
290,green tea instantly lowers blood sugar,myth,forum
291,turmeric could help with digestion,uncertain,blog
292,turmeric could help with digestion,uncertain,youtube
293,Intermittent fasting may improve some health markers,uncertain,youtube
294,turmeric may help improve concentration,uncertain,youtube
295,Intermittent fasting may improve some health markers,uncertain,health_journal
296,Regular sleep supports brain function,reliable,youtube
297,Intermittent fasting may improve some health markers,uncertain,tiktok
298,Vaccination reduces risk of infectious diseases,reliable,forum
299,Vaccines permanently weaken the immune system,myth,medical_source
300,Green tea might support metabolism,uncertain,youtube
301,garlic may help improve concentration,uncertain,medical_source
302,lemon water may help improve concentration,uncertain,blog
303,Drinking only juice detoxes the body completely,myth,forum
304,ginger tea may help improve concentration,uncertain,social_media
305,Certain herbal remedies may reduce stress,uncertain,youtube
306,Regular sleep supports brain function,reliable,social_media
307,Eating fruits and vegetables supports immunity,reliable,blog
308,Washing hands reduces spread of bacteria and viruses,reliable,health_journal
309,Certain herbal remedies may reduce stress,uncertain,forum
310,Certain herbal remedies may reduce stress,uncertain,forum
311,Intermittent fasting may improve some health markers,uncertain,social_media
312,green tea instantly lowers blood sugar,myth,forum
313,lemon water cures all diseases,myth,medical_source
314,Drinking only juice detoxes the body completely,myth,health_journal
315,Regular sleep supports brain function,reliable,health_journal
316,honey could help with digestion,uncertain,tiktok
317,Drinking only juice detoxes the body completely,myth,tiktok
318,Drinking only juice detoxes the body completely,myth,tiktok
319,Exercise helps maintain cardiovascular health,reliable,social_media
320,Certain herbal remedies may reduce stress,uncertain,social_media
321,Vaccines permanently weaken the immune system,myth,medical_source
322,Washing hands reduces spread of bacteria and viruses,reliable,health_journal
323,turmeric could help with digestion,uncertain,social_media
324,Doctors hide natural cures from patients,myth,health_journal
325,Exercise helps maintain cardiovascular health,reliable,tiktok
326,green tea could help with digestion,uncertain,forum
327,ginger tea instantly lowers blood sugar,myth,medical_source
328,garlic cures all diseases,myth,youtube
329,green tea could help with digestion,uncertain,youtube
330,Doctors hide natural cures from patients,myth,blog
331,Washing hands reduces spread of bacteria and viruses,reliable,youtube
332,Intermittent fasting may improve some health markers,uncertain,forum
333,Green tea might support metabolism,uncertain,health_journal
334,Vaccines permanently weaken the immune system,myth,social_media
335,Certain herbal remedies may reduce stress,uncertain,blog
336,Doctors hide natural cures from patients,myth,forum
337,honey could help with digestion,uncertain,social_media
338,Doctors hide natural cures from patients,myth,health_journal
339,Exercise helps maintain cardiovascular health,reliable,medical_source
340,Intermittent fasting may improve some health markers,uncertain,medical_source
341,green tea cures all diseases,myth,health_journal
342,Drinking only juice detoxes the body completely,myth,blog
343,Vaccines permanently weaken the immune system,myth,social_media
344,honey may help improve concentration,uncertain,medical_source
345,Vaccines permanently weaken the immune system,myth,blog
346,apple cider vinegar could help with digestion,uncertain,health_journal
347,Vaccines permanently weaken the immune system,myth,social_media
348,apple cider vinegar could help with digestion,uncertain,youtube
349,Vaccines permanently weaken the immune system,myth,health_journal
350,Doctors hide natural cures from patients,myth,youtube
351,apple cider vinegar may help improve concentration,uncertain,tiktok
352,Green tea might support metabolism,uncertain,medical_source
353,Intermittent fasting may improve some health markers,uncertain,social_media
354,garlic may help improve concentration,uncertain,forum
355,Washing hands reduces spread of bacteria and viruses,reliable,forum
356,Doctors hide natural cures from patients,myth,medical_source
357,Green tea might support metabolism,uncertain,health_journal
358,Doctors hide natural cures from patients,myth,tiktok
359,Drinking only juice detoxes the body completely,myth,forum
360,Green tea might support metabolism,uncertain,blog
361,lemon water cures all diseases,myth,health_journal
362,Vaccines permanently weaken the immune system,myth,tiktok
363,Green tea might support metabolism,uncertain,social_media
364,Intermittent fasting may improve some health markers,uncertain,blog
365,lemon water instantly lowers blood sugar,myth,youtube
366,Drinking only juice detoxes the body completely,myth,social_media
367,Certain herbal remedies may reduce stress,uncertain,medical_source
368,Vaccines permanently weaken the immune system,myth,social_media
369,Doctors hide natural cures from patients,myth,youtube
370,Intermittent fasting may improve some health markers,uncertain,forum
371,ginger tea instantly lowers blood sugar,myth,tiktok
372,Vaccination reduces risk of infectious diseases,reliable,youtube
373,Exercise helps maintain cardiovascular health,reliable,youtube
374,Doctors hide natural cures from patients,myth,forum
375,Eating fruits and vegetables supports immunity,reliable,blog
376,Eating fruits and vegetables supports immunity,reliable,social_media
377,Vaccines permanently weaken the immune system,myth,medical_source
378,Drinking only juice detoxes the body completely,myth,youtube
379,Doctors hide natural cures from patients,myth,health_journal
380,apple cider vinegar could help with digestion,uncertain,health_journal
381,Doctors hide natural cures from patients,myth,tiktok
382,green tea could help with digestion,uncertain,medical_source
383,honey instantly lowers blood sugar,myth,tiktok
384,ginger tea cures all diseases,myth,tiktok
385,Drinking only juice detoxes the body completely,myth,forum
386,honey may help improve concentration,uncertain,forum
387,Vaccines permanently weaken the immune system,myth,medical_source
388,Eating fruits and vegetables supports immunity,reliable,youtube
389,honey may help improve concentration,uncertain,youtube
390,Exercise helps maintain cardiovascular health,reliable,health_journal
391,Exercise helps maintain cardiovascular health,reliable,blog
392,Vaccines permanently weaken the immune system,myth,social_media
393,Regular sleep supports brain function,reliable,blog
394,lemon water could help with digestion,uncertain,youtube
395,ginger tea cures all diseases,myth,social_media
396,Vaccination reduces risk of infectious diseases,reliable,health_journal
397,honey may help improve concentration,uncertain,forum
398,turmeric may help improve concentration,uncertain,health_journal
399,ginger tea could help with digestion,uncertain,forum
400,Drinking only juice detoxes the body completely,myth,health_journal
401,honey could help with digestion,uncertain,blog
402,Eating fruits and vegetables supports immunity,reliable,forum
403,lemon water instantly lowers blood sugar,myth,health_journal
404,turmeric instantly lowers blood sugar,myth,blog
405,Vaccination reduces risk of infectious diseases,reliable,social_media
406,Regular sleep supports brain function,reliable,blog
407,Intermittent fasting may improve some health markers,uncertain,health_journal
408,Exercise helps maintain cardiovascular health,reliable,youtube
409,garlic may help improve concentration,uncertain,forum
410,Vaccines permanently weaken the immune system,myth,blog
411,Certain herbal remedies may reduce stress,uncertain,youtube
412,Certain herbal remedies may reduce stress,uncertain,blog
413,turmeric cures all diseases,myth,medical_source
414,Green tea might support metabolism,uncertain,social_media
415,Doctors hide natural cures from patients,myth,forum
416,Green tea might support metabolism,uncertain,forum
417,Doctors hide natural cures from patients,myth,blog
418,lemon water cures all diseases,myth,social_media
419,Intermittent fasting may improve some health markers,uncertain,youtube
420,Exercise helps maintain cardiovascular health,reliable,medical_source
421,Green tea might support metabolism,uncertain,social_media
422,Exercise helps maintain cardiovascular health,reliable,tiktok
423,Vaccination reduces risk of infectious diseases,reliable,tiktok
424,Vaccines permanently weaken the immune system,myth,youtube
425,Washing hands reduces spread of bacteria and viruses,reliable,social_media
426,Regular sleep supports brain function,reliable,youtube
427,Regular sleep supports brain function,reliable,blog
428,Eating fruits and vegetables supports immunity,reliable,blog
429,Certain herbal remedies may reduce stress,uncertain,forum
430,Eating fruits and vegetables supports immunity,reliable,medical_source
431,green tea may help improve concentration,uncertain,youtube
432,Vaccination reduces risk of infectious diseases,reliable,medical_source
433,Washing hands reduces spread of bacteria and viruses,reliable,forum
434,Doctors hide natural cures from patients,myth,blog
435,apple cider vinegar could help with digestion,uncertain,medical_source
436,Doctors hide natural cures from patients,myth,blog
437,honey may help improve concentration,uncertain,health_journal
438,Certain herbal remedies may reduce stress,uncertain,forum
439,honey may help improve concentration,uncertain,health_journal
440,Intermittent fasting may improve some health markers,uncertain,medical_source
441,turmeric cures all diseases,myth,blog
442,Exercise helps maintain cardiovascular health,reliable,youtube
443,Green tea might support metabolism,uncertain,social_media
444,green tea could help with digestion,uncertain,blog
445,Intermittent fasting may improve some health markers,uncertain,forum
446,Regular sleep supports brain function,reliable,youtube
447,Green tea might support metabolism,uncertain,blog
448,Regular sleep supports brain function,reliable,medical_source
449,ginger tea instantly lowers blood sugar,myth,forum
450,Drinking only juice detoxes the body completely,myth,youtube
451,Certain herbal remedies may reduce stress,uncertain,medical_source
452,Vaccination reduces risk of infectious diseases,reliable,blog
453,Certain herbal remedies may reduce stress,uncertain,social_media
454,honey instantly lowers blood sugar,myth,medical_source
455,Vaccination reduces risk of infectious diseases,reliable,social_media
456,Green tea might support metabolism,uncertain,forum
457,green tea could help with digestion,uncertain,health_journal
458,Doctors hide natural cures from patients,myth,forum
459,turmeric may help improve concentration,uncertain,forum
460,Eating fruits and vegetables supports immunity,reliable,social_media
461,honey may help improve concentration,uncertain,youtube
462,turmeric cures all diseases,myth,forum
463,ginger tea could help with digestion,uncertain,health_journal
464,green tea could help with digestion,uncertain,medical_source
465,Vaccines permanently weaken the immune system,myth,health_journal
466,Washing hands reduces spread of bacteria and viruses,reliable,tiktok
467,Vaccination reduces risk of infectious diseases,reliable,youtube
468,Intermittent fasting may improve some health markers,uncertain,youtube
469,apple cider vinegar may help improve concentration,uncertain,social_media
470,Washing hands reduces spread of bacteria and viruses,reliable,tiktok
471,Exercise helps maintain cardiovascular health,reliable,social_media
472,apple cider vinegar instantly lowers blood sugar,myth,tiktok
473,Intermittent fasting may improve some health markers,uncertain,tiktok
474,green tea could help with digestion,uncertain,youtube
475,Drinking only juice detoxes the body completely,myth,forum
476,lemon water instantly lowers blood sugar,myth,tiktok
477,Doctors hide natural cures from patients,myth,medical_source
478,turmeric instantly lowers blood sugar,myth,tiktok
479,Washing hands reduces spread of bacteria and viruses,reliable,youtube
480,Eating fruits and vegetables supports immunity,reliable,forum
481,Eating fruits and vegetables supports immunity,reliable,tiktok
482,Intermittent fasting may improve some health markers,uncertain,tiktok
483,Eating fruits and vegetables supports immunity,reliable,forum
484,green tea could help with digestion,uncertain,blog
485,Exercise helps maintain cardiovascular health,reliable,social_media
486,turmeric may help improve concentration,uncertain,forum
487,Vaccination reduces risk of infectious diseases,reliable,forum
488,Washing hands reduces spread of bacteria and viruses,reliable,tiktok
489,garlic could help with digestion,uncertain,youtube
490,Green tea might support metabolism,uncertain,medical_source
491,Doctors hide natural cures from patients,myth,medical_source
492,lemon water instantly lowers blood sugar,myth,health_journal
493,Exercise helps maintain cardiovascular health,reliable,health_journal
494,garlic cures all diseases,myth,youtube
495,green tea may help improve concentration,uncertain,health_journal
496,Vaccination reduces risk of infectious diseases,reliable,tiktok
497,honey instantly lowers blood sugar,myth,forum
498,honey could help with digestion,uncertain,tiktok
499,Certain herbal remedies may reduce stress,uncertain,medical_source
500,Exercise helps maintain cardiovascular health,reliable,youtube
501,Vaccination reduces risk of infectious diseases,reliable,forum
502,Green tea might support metabolism,uncertain,medical_source
503,garlic could help with digestion,uncertain,tiktok
504,green tea instantly lowers blood sugar,myth,forum
505,Exercise helps maintain cardiovascular health,reliable,forum
506,turmeric may help improve concentration,uncertain,youtube
507,Certain herbal remedies may reduce stress,uncertain,tiktok
508,turmeric may help improve concentration,uncertain,health_journal
509,honey cures all diseases,myth,youtube
510,lemon water instantly lowers blood sugar,myth,forum
511,Vaccination reduces risk of infectious diseases,reliable,blog
512,Certain herbal remedies may reduce stress,uncertain,health_journal
513,ginger tea cures all diseases,myth,medical_source
514,green tea could help with digestion,uncertain,medical_source
515,Intermittent fasting may improve some health markers,uncertain,blog
516,Eating fruits and vegetables supports immunity,reliable,social_media
517,turmeric instantly lowers blood sugar,myth,tiktok
518,apple cider vinegar instantly lowers blood sugar,myth,social_media
519,honey could help with digestion,uncertain,social_media
520,Certain herbal remedies may reduce stress,uncertain,tiktok
521,Green tea might support metabolism,uncertain,tiktok
522,Green tea might support metabolism,uncertain,medical_source
523,Exercise helps maintain cardiovascular health,reliable,forum
524,Vaccination reduces risk of infectious diseases,reliable,forum
525,Doctors hide natural cures from patients,myth,social_media
526,Eating fruits and vegetables supports immunity,reliable,tiktok
527,garlic could help with digestion,uncertain,youtube
528,Certain herbal remedies may reduce stress,uncertain,tiktok
529,Drinking only juice detoxes the body completely,myth,social_media
530,Washing hands reduces spread of bacteria and viruses,reliable,youtube
531,ginger tea could help with digestion,uncertain,tiktok
532,Vaccines permanently weaken the immune system,myth,social_media
533,ginger tea may help improve concentration,uncertain,forum
534,Certain herbal remedies may reduce stress,uncertain,social_media
535,Regular sleep supports brain function,reliable,youtube
536,Drinking only juice detoxes the body completely,myth,social_media
537,Exercise helps maintain cardiovascular health,reliable,youtube
538,lemon water may help improve concentration,uncertain,tiktok
539,Intermittent fasting may improve some health markers,uncertain,forum
540,honey cures all diseases,myth,social_media
541,green tea cures all diseases,myth,blog
542,Drinking only juice detoxes the body completely,myth,youtube
543,Green tea might support metabolism,uncertain,forum
544,Drinking only juice detoxes the body completely,myth,social_media
545,Vaccines permanently weaken the immune system,myth,blog
546,Vaccination reduces risk of infectious diseases,reliable,tiktok
547,lemon water may help improve concentration,uncertain,youtube
548,Doctors hide natural cures from patients,myth,tiktok
549,Vaccines permanently weaken the immune system,myth,tiktok
550,Drinking only juice detoxes the body completely,myth,tiktok
551,Vaccines permanently weaken the immune system,myth,medical_source
552,Vaccines permanently weaken the immune system,myth,medical_source
553,Eating fruits and vegetables supports immunity,reliable,social_media
554,garlic could help with digestion,uncertain,health_journal
555,Eating fruits and vegetables supports immunity,reliable,medical_source
556,Vaccination reduces risk of infectious diseases,reliable,forum
557,Washing hands reduces spread of bacteria and viruses,reliable,social_media
